district,name,state,chamber,party
District 4,Joceline Berrios,Florida,house,
District 4,Jason Bulger,Florida,house,
District 5,Alfred Lawson,Florida,house,
District 5,Virginia Fuller,Florida,house,
District 6,Nancy Soderberg,Florida,house,
District 6,Michael Waltz,Florida,house,
District 7,Stephanie Murphy,Florida,house,
District 7,Mike Miller,Florida,house,
District 7,Jose Valdez,Florida,house,
District 8,Bill Posey,Florida,house,
District 8,Sanjay Patel,Florida,house,
District 9,Darren Soto,Florida,house,
District 9,Wayne Liebnitzky,Florida,house,
District 10,Val Demings,Florida,house,
District 11,Daniel Webster,Florida,house,
District 11,Dana Cottrell,Florida,house,
District 12,Gus M. Bilirakis,Florida,house,
District 12,Chris Hunter,Florida,house,
District 12,Angelika Purkis,Florida,house,
District 13,Charlie Crist,Florida,house,
District 13,George Buck,Florida,house,
District 14,Kathy Castor,Florida,house,
District 15,Kristen Carlson,Florida,house,
District 15,Ross Spano,Florida,house,
District 16,Vern Buchanan,Florida,house,
District 16,David Shapiro,Florida,house,
District 16,Eric Allen,Florida,house,
District 16,Sean Canfield,Florida,house,
District 16,Robert Samuel Kaplan,Florida,house,
District 17,Allen Ellison,Florida,house,
District 17,Greg Steube,Florida,house,
District 17,April Freeman,Florida,house,
District 18,Brian Mast,Florida,house,
District 18,Lauren Baer,Florida,house,
District 19,Francis Rooney,Florida,house,
District 19,David Holden,Florida,house,
District 20,Alcee L. Hastings,Florida,house,
District 21,Lois Frankel,Florida,house,
District 22,Theodore E. Deutch,Florida,house,
District 22,Nicolas Kimaz,Florida,house,
District 23,Debbie Wasserman Schultz,Florida,house,
District 23,Joe Kaufman,Florida,house,
District 23,Tim Canova,Florida,house,
District 23,Don Endriss,Florida,house,
District 23,Stuart Reed,Florida,house,
District 24,Frederica S. Wilson,Florida,house,
District 25,Mario Diaz-Balart,Florida,house,
District 25,Mary Barzee Flores,Florida,house,
District 26,Carlos Curbelo,Florida,house,
District 26,Debbie Mucarsel-Powell,Florida,house,
District 26,Edward Bonilla,Florida,house,
District 27,Donna Shalala,Florida,house,
District 27,Maria Elvira Salazar,Florida,house,
District 27,Mayra Joli,Florida,house,
District 27,Cassandra Anna Hefton,Florida,house,
District 27,Ian Hamilton Trottier,Florida,house,
District 1,"Earl ""Buddy"" Carter",Georgia,house,
District 1,Lisa Ring,Georgia,house,
District 2,Sanford Bishop Jr.,Georgia,house,
District 2,Herman West Jr.,Georgia,house,
District 3,Drew Ferguson,Georgia,house,
District 3,Chuck Enderlin,Georgia,house,
District 4,Hank Johnson,Georgia,house,
District 4,Joe Profit,Georgia,house,
District 5,John Lewis,Georgia,house,
District 6,Karen Handel,Georgia,house,
District 6,Lucy McBath,Georgia,house,
District 6,Jeremy Stubbs,Georgia,house,
District 7,Rob Woodall,Georgia,house,
District 7,Carolyn Bourdeaux,Georgia,house,
District 8,Austin Scott,Georgia,house,
District 8,Jimmy Cooper,Georgia,house,
District 9,Doug Collins,Georgia,house,
District 9,Josh McCall,Georgia,house,
District 9,Clifford Baxter,Georgia,house,
District 10,Jody Hice,Georgia,house,
District 10,Tabitha Johnson-Green,Georgia,house,
District 10,Patrick Moorehead,Georgia,house,
District 11,Barry Loudermilk,Georgia,house,
District 11,Flynn Broady Jr.,Georgia,house,
District 11,Bar-Kim Green,Georgia,house,
District 12,Rick Allen,Georgia,house,
District 12,Francys Johnson,Georgia,house,
District 12,Brian Brown,Georgia,house,
District 12,Mary West,Georgia,house,
District 13,David Scott,Georgia,house,
District 13,David Callahan,Georgia,house,
District 13,Martin L. Cowen,Georgia,house,
District 14,Tom Graves,Georgia,house,
District 14,Steven Foster,Georgia,house,
District 1,Ed Case,Hawaii,house,
District 1,Cam Cavasso,Hawaii,house,
District 1,Zachary Burd,Hawaii,house,
District 1,Michelle Rose Tippens,Hawaii,house,
District 1,Calvin Griffin,Hawaii,house,
District 2,Tulsi Gabbard,Hawaii,house,
District 2,Brian Evans,Hawaii,house,
District 1,Cristina McNeil,Idaho,house,
District 1,Russ Fulcher,Idaho,house,
District 1,W. Scott Howard,Idaho,house,
District 1,Pro-Life,Idaho,house,
District 1,Gordon Counsil,Idaho,house,
District 1,Paul Farmer,Idaho,house,
District 1,Natalie Fleming,Idaho,house,
District 1,Michael Rath,Idaho,house,
District 2,Michael Simpson,Idaho,house,
District 2,Aaron Swisher,Idaho,house,
District 1,Bobby Rush,Illinois,house,
District 1,Jimmy Lee Tillman II,Illinois,house,
District 1,Thomas Rudbeck,Illinois,house,
District 2,Robin Kelly,Illinois,house,
District 2,David Merkle,Illinois,house,
District 3,Daniel Lipinski,Illinois,house,
District 3,Arthur Jones,Illinois,house,
District 3,Justin Hanson,Illinois,house,
District 3,Kenneth Yerkes,Illinois,house,
District 4,Jesus Garcia,Illinois,house,
District 4,Mark Wayne Lorch,Illinois,house,
District 4,Ann Melichar,Illinois,house,
District 4,"Ruben Sanchez, Jr.",Illinois,house,
District 5,Mike Quigley,Illinois,house,
District 5,Tom Hanson,Illinois,house,
District 6,Peter J. Roskam,Illinois,house,
District 6,Sean Casten,Illinois,house,
District 7,Danny K. Davis,Illinois,house,
District 7,Craig Cameron,Illinois,house,
District 7,Ahmed Salim,Illinois,house,
District 8,Raja Krishnamoorthi,Illinois,house,
District 8,Jitendra Diganvker,Illinois,house,
District 8,Andrew Straw,Illinois,house,
District 8,Vandana Jhingan,Illinois,house,
District 9,Jan Schakowsky,Illinois,house,
District 9,John Elleson,Illinois,house,
District 10,Brad Schneider,Illinois,house,
District 10,Doug Bennett,Illinois,house,
District 11,Bill Foster,Illinois,house,
District 11,Nick Stella,Illinois,house,
District 12,Mike Bost,Illinois,house,
District 12,Brendan Kelly,Illinois,house,
District 12,Randy Auxier,Illinois,house,
District 12,Charles Koen,Illinois,house,
District 12,David Bequette,Illinois,house,
District 12,Brendan Kelly,Illinois,house,
District 12,Mike Bost,Illinois,house,
District 12,Preston Nelson,Illinois,house,
District 13,Rodney Davis,Illinois,house,
District 13,Betsy Londrigan,Illinois,house,
District 14,Randy Hultgren,Illinois,house,
District 14,Lauren Underwood,Illinois,house,
District 15,John Shimkus,Illinois,house,
District 15,Kevin Gaither,Illinois,house,
District 16,Adam Kinzinger,Illinois,house,
District 16,Sara Dady,Illinois,house,
District 17,Cheri Bustos,Illinois,house,
District 17,Bill Fawell,Illinois,house,
District 18,Darin LaHood,Illinois,house,
District 18,Junius Rodriguez,Illinois,house,
District 1,Peter Visclosky,Indiana,house,
District 1,Mark Leyva,Indiana,house,
District 1,Jonathan Kleinman,Indiana,house,
District 2,Jackie Walorski,Indiana,house,
District 2,Mel Hall,Indiana,house,
District 2,Richard Wolf,Indiana,house,
District 3,Jim Banks,Indiana,house,
District 3,Courtney Tritch,Indiana,house,
District 4,Tobi Beck,Indiana,house,
District 4,Jim Baird,Indiana,house,
District 5,Susan Brooks,Indiana,house,
District 5,Dee Thornton,Indiana,house,
District 6,Jeannine Lee Lake,Indiana,house,
District 6,Greg Pence,Indiana,house,
District 6,&#91;3&#93;,Indiana,house,
District 6,Heather Meloy,Indiana,house,
District 6,John Miller,Indiana,house,
District 7,Andre Carson,Indiana,house,
District 7,Wayne Harmon,Indiana,house,
District 8,Larry Bucshon,Indiana,house,
District 8,William Tanoos,Indiana,house,
District 9,Trey Hollingsworth,Indiana,house,
District 9,Liz Watson,Indiana,house,
District 1,Rod Blum,Iowa,house,
District 1,Abby Finkenauer,Iowa,house,
District 1,Troy Hageman,Iowa,house,
District 1,Henry Gaff,Iowa,house,
District 2,Dave Loebsack,Iowa,house,
District 2,Chris Peters,Iowa,house,
District 2,Mark Strauss,Iowa,house,
District 2,Daniel Clark,Iowa,house,
District 3,David Young,Iowa,house,
District 3,Cindy Axne,Iowa,house,
District 3,Paul Knupp,Iowa,house,
District 3,Mark G. Elworth  Jr.,Iowa,house,
District 3,Bryan Holder,Iowa,house,
District 3,Joe Grandanette,Iowa,house,
District 3,Cindy Axne,Iowa,house,
District 3,Pete D'Alessandro,Iowa,house,
District 3,Eddie Mauro,Iowa,house,
District 4,Steve King,Iowa,house,
District 4,J.D. Scholten,Iowa,house,
District 4,Charles Aldrich,Iowa,house,
District 4,Edward Peterson,Iowa,house,
District 3,Kevin Yoder,Kansas,house,
District 3,Sharice Davids,Kansas,house,
District 3,Chris Clemmons,Kansas,house,
District 1,James Comer,Kentucky,house,
District 1,Paul Walker,Kentucky,house,
District 2,Brett Guthrie,Kentucky,house,
District 2,Hank Linderman,Kentucky,house,
District 2,Thomas Loecken,Kentucky,house,
District 3,John Yarmuth,Kentucky,house,
District 3,Vickie Yates Glisson,Kentucky,house,
District 3,Gregory Boles,Kentucky,house,
District 4,Thomas Massie,Kentucky,house,
District 4,Seth Hall,Kentucky,house,
District 4,Mike Moffett,Kentucky,house,
District 4,David Goodwin,Kentucky,house,
District 5,Hal Rogers,Kentucky,house,
District 5,Kenneth Stepp,Kentucky,house,
District 5,Billy Ray Wilson,Kentucky,house,
District 6,Andy Barr,Kentucky,house,
District 6,Amy McGrath,Kentucky,house,
District 6,Frank Harris,Kentucky,house,
District 6,James Germalic,Kentucky,house,
District 6,Rikka Wallin,Kentucky,house,
District 1,Steve Scalise,Louisiana,house,
District 1,Lee Ann Dugas,Louisiana,house,
District 1,Jim Francis,Louisiana,house,
District 1,Tammy Savoie,Louisiana,house,
District 1,Howard Kearney,Louisiana,house,
District 1,Frederick Jones,Louisiana,house,
District 2,Cedric Richmond,Louisiana,house,
District 2,Belden Batiste,Louisiana,house,
District 2,Shawndra Rodriguez,Louisiana,house,
District 2,Jesse Schmidt,Louisiana,house,
District 3,Clay Higgins,Louisiana,house,
District 3,Rob Anderson,Louisiana,house,
District 3,"Mildred ""Mimi"" Methvin",Louisiana,house,
District 3,Larry Rader,Louisiana,house,
District 3,Verone Thomas,Louisiana,house,
District 3,Josh Guillory,Louisiana,house,
District 3,Aaron Andrus,Louisiana,house,
District 3,Phillip Conner,Louisiana,house,
District 3,Dave Langlinais,Louisiana,house,
District 4,Mike Johnson,Louisiana,house,
District 4,Ryan Trundle,Louisiana,house,
District 4,Mark Halverson,Louisiana,house,
District 5,Ralph Abraham,Louisiana,house,
